;latitud;longitud;profundidad;magnitud;err_prof;err_h
399;-31.726;-70.594;118.2;0;4.4;2.7
400;-32.653;-70.917;67.8;0;0.9;0.45
401;-35.158;-71.082;74.5;0;8.9;2.05
402;-35.173;-71.214;87.1;3.2;8.7;2.65
403;-31.735;-70.173;138.7;2.9;2.8;2.1
404;-32.951;-71.707;35.3;3;4;1.25
405;-31.255;-71.579;29.7;3.5;1.7;2.05
406;-32.17;-70.278;113.6;2.3;5;3.55
407;-31.462;-69.844;166.4;4.2;3.4;2.25
408;-34.043;-70.108;15.3;0;5.2;2.2
409;-34.003;-72.129;21.7;0;15.7;1.25
410;-34.005;-71.502;38.2;0;1.3;0.6
411;-32.82;-71.468;34.7;3.4;2.3;0.85
412;-31.971;-71.589;41.2;3.4;0.9;0.8
413;-32.694;-70.207;119.7;3.6;2.6;1.9
414;-34.268;-72.125;23.5;3.6;2.7;1.55
415;-34.934;-71.186;108.2;0;5.6;2.4
416;-34.493;-70.795;93.1;2.7;2.5;1.2
417;-32.063;-70.03;129.6;3.5;3.9;3.05
418;-33.703;-70.538;91.7;2.2;1.7;1
419;-34.003;-70.711;94.2;2.3;1.6;1.1
420;-32.066;-71.679;38.5;3.8;1.7;1.65
421;-31.574;-69.746;214.3;3.9;5.8;4.9
422;-33;-72.164;14.2;3.3;5.4;2.25
423;-33.045;-72.156;14.5;3.8;8.7;3.6
424;-35.205;-71.656;34.6;3.5;1.6;1.75
425;-33.313;-72.469;31.9;3.5;2.9;1.55
426;-31.132;-72.226;17.1;4.2;2.8;2.7
427;-32.788;-70.166;113.6;0;36.5;13.2
428;-32.538;-72.098;31.3;3.7;2.5;1.25
429;-33.021;-72.126;15;3.5;6.8;2.8
430;-33.452;-70.177;103;2.3;2;1.55
431;-33.556;-70.073;7.5;3.1;1.2;1.2
432;-32.75;-70.808;72.3;2.5;1.9;1
433;-33.465;-70.108;10.1;3.4;0.7;0.7
434;-32.041;-69.79;145.4;3.4;3.1;2.1
435;-33.25;-70.805;75.2;2.3;2.1;0.85
436;-31.737;-71.071;106.8;3.5;4.2;1.65
437;-31.231;-70.184;102;3.2;7.1;2.3
438;-30.268;-71.525;35.6;3.8;4.5;3.65
439;-32.137;-71.075;83.7;3;2.2;1.05
440;-34.003;-70.375;9.8;0;1.3;1.35
441;-29.205;-68.926;339.2;4.2;7.6;7.9
442;-33.528;-70.61;86.4;0;1.3;0.65
443;-33.478;-70.423;95.5;2.9;0.7;0.4
444;-31.924;-71.468;38.1;0;2;2.65
445;-33.103;-71.275;40.9;3.3;1.1;0.6
446;-32.391;-71.772;11.7;4.1;8.5;3.55
447;-32.483;-71.638;0.2;3.7;2.5;1.8
448;-32.411;-71.733;14.5;3.8;10.6;4.2
449;-32.202;-71.645;35.8;4.1;1.7;1.6
450;-33.824;-70.122;6.1;0;1.4;1.15
451;-32.4;-71.546;45.2;4.2;1.2;1.2
452;-33.792;-70.138;123.4;2.5;1.1;0.7
453;-33.689;-70.478;105.3;0;1.4;0.8
454;-33.901;-70.797;80.7;3.1;1;0.45
455;-34.363;-70.246;8.2;3;1.4;1.1
456;-32.008;-71.332;26.1;3.5;2.7;2.2
457;-31.86;-70.263;124.9;2.8;2.7;2.35
458;-34.068;-70.383;9.7;3.9;0.7;0.85
459;-33.652;-70.403;105.2;2.9;1.1;0.7
460;-31.963;-71.288;71.1;4;3.2;1.1
461;-36.331;-72.14;69.1;4;2.3;1.1
